 População Residente - Estimativas para o TCU - Santa Catarina
População estimada por Município
Período:2016
"Município";"População_estimada"
"421568 Santa Terezinha do Progresso";2611
"421569 Santiago do Sul";1341
"421570 Santo Amaro da Imperatriz";22266
"421580 São Bento do Sul";81893
"421575 São Bernardino";2496
"421590 São Bonifácio";2922
"421600 São Carlos";11038
"421605 São Cristovão do Sul";5412
"421610 São Domingos";9509
"421620 São Francisco do Sul";49658
"421630 São João Batista";33897
"421635 São João do Itaperiú";3662
"421625 São João do Oeste";6285
"421640 São João do Sul";7247
"421650 São Joaquim";26447
"421660 São José";236029
"421670 São José do Cedro";13899
"421680 São José do Cerrito";8705
"421690 São Lourenço do Oeste";23473
"421700 São Ludgero";12688
"421710 São Martinho";3217
"421715 São Miguel da Boa Vista";1860
"421720 São Miguel do Oeste";39390
"421725 São Pedro de Alcântara";5488
"421730 Saudades";9594
"421740 Schroeder";19463
"421750 Seara";17483
"421755 Serra Alta";3307
"421760 Siderópolis";13778
"421770 Sombrio";29340
"421775 Sul Brasil";2587
"421780 Taió";18161
"421790 Tangará";8748
"421795 Tigrinhos";1707
"421800 Tijucas";36170
"421810 Timbé do Sul";5379
"421820 Timbó";42045
"421825 Timbó Grande";7699
"421830 Três Barras";19046
"421835 Treviso";3824
"421840 Treze de Maio";7082
"421850 Treze Tílias";7392
"421860 Trombudo Central";7135
"421870 Tubarão";103674
"421875 Tunápolis";4612
"421880 Turvo";12649
"421885 União do Oeste";2650
"421890 Urubici";11147
"421895 Urupema";2492
"421900 Urussanga";21090
"421910 Vargeão";3590
"421915 Vargem";2586
"421917 Vargem Bonita";4635
"421920 Vidal Ramos";6361
"421930 Videira";51499
"421935 Vitor Meireles";5089
"421940 Witmarsum";3876
"421950 Xanxerê";49057
"421960 Xavantina";4039
"421970 Xaxim";27921
"421985 Zortéa";3264
"420000 Município ignorado - SC";-
"Total";6910553
 Fonte: IBGE - Estimativas de população
 Notas:
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 projeções intercensitárias segundo faixa etária e sexo,
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes e situações especiais.
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a
 nota técnica.
 
