 Taxa de analfabetismo - Santa Catarina
População alfabetizada por Município
Período:2010
"Município";"População_alfabetizada"
"421187 Paial";1254
"421189 Painel";1631
"421190 Palhoça";101179
"421200 Palma Sola";5198
"421205 Palmeira";1589
"421210 Palmitos";11978
"421220 Papanduva";12398
"421223 Paraíso";2845
"421225 Passo de Torres";4609
"421227 Passos Maia";2881
"421230 Paulo Lopes";4622
"421240 Pedras Grandes";3213
"421250 Penha";18594
"421260 Peritiba";2410
"421265 Pescaria Brava";-
"421270 Petrolândia";4498
"421290 Pinhalzinho";12204
"421300 Pinheiro Preto";2352
"421310 Piratuba";3630
"421315 Planalto Alegre";1859
"421320 Pomerode";22045
"421330 Ponte Alta";3203
"421335 Ponte Alta do Norte";2108
"421340 Ponte Serrada";7316
"421350 Porto Belo";11760
"421360 Porto União";24501
"421370 Pouso Redondo";10586
"421380 Praia Grande";5182
"421390 Presidente Castello Branco";1332
"421400 Presidente Getúlio";11263
"421410 Presidente Nereu";1590
"421415 Princesa";1950
"421420 Quilombo";7398
"421430 Rancho Queimado";2035
"421440 Rio das Antas";4475
"421450 Rio do Campo";4509
"421460 Rio do Oeste";5274
"421480 Rio do Sul";46612
"421470 Rio dos Cedros";8035
"421490 Rio Fortuna";3561
"421500 Rio Negrinho";28344
"421505 Rio Rufino";1656
"421507 Riqueza";3446
"421510 Rodeio";8633
"421520 Romelândia";3853
"421530 Salete";5413
"421535 Saltinho";2518
"421540 Salto Veloso";3150
"421545 Sangão";6944
"421550 Santa Cecília";10304
"421555 Santa Helena";1730
"421560 Santa Rosa de Lima";1614
"421565 Santa Rosa do Sul";5815
"421567 Santa Terezinha";6186
"421568 Santa Terezinha do Progresso";1936
"421569 Santiago do Sul";1031
"421570 Santo Amaro da Imperatriz";14832
"421580 São Bento do Sul";55843
"421575 São Bernardino";1763
"421590 São Bonifácio";2350
"421600 São Carlos";7866
"421605 São Cristovão do Sul";2762
"421610 São Domingos";6638
"421620 São Francisco do Sul";31001
"421630 São João Batista";19400
"421635 São João do Itaperiú";2422
"421625 São João do Oeste";4932
"421640 São João do Sul";5033
"421650 São Joaquim";18051
"421660 São José";162741
"421670 São José do Cedro";10129
"421680 São José do Cerrito";6200
"421690 São Lourenço do Oeste";15680
"421700 São Ludgero";8101
"421710 São Martinho";2502
"421715 São Miguel da Boa Vista";1345
"421720 São Miguel do Oeste";27925
"421725 São Pedro de Alcântara";2593
"421730 Saudades";6957
"421740 Schroeder";11481
"421750 Seara";12869
"421755 Serra Alta";2472
"421760 Siderópolis";9882
"421770 Sombrio";19212
"421775 Sul Brasil";1848
"421780 Taió";12657
"421790 Tangará";6398
"421795 Tigrinhos";1281
"421800 Tijucas";22497
"421810 Timbé do Sul";3859
"421820 Timbó";29019
"421825 Timbó Grande";4408
"421830 Três Barras";12239
"421835 Treviso";2799
"421840 Treze de Maio";5212
"421850 Treze Tílias";4718
"421860 Trombudo Central";4929
"421870 Tubarão";75977
"421875 Tunápolis";3601
"421880 Turvo";8912
"421885 União do Oeste";2099
"421890 Urubici";7700
"421895 Urupema";1829
"421900 Urussanga";15976
"421910 Vargeão";2459
"421915 Vargem";1899
"421917 Vargem Bonita";3284
"421920 Vidal Ramos";4352
"421930 Videira";34710
"421935 Vitor Meireles";3509
"421940 Witmarsum";2657
"421950 Xanxerê";31964
"421960 Xavantina";3123
"421970 Xaxim";18867
"421985 Zortéa";2174
"420000 Município ignorado - SC";-
"Total";4666340
 Fonte: IBGE - Censos Demográficos
